f,ax,ay,az,mx,my,mz,gx,gy,gz,t,p,h
976,-1.01,0.44,9.86,9.83,-31.33,20.50,21.00,-33.00,3.00,35.20,101299,-2.63
999,-1.01,0.48,9.77,9.83,-31.17,19.83,21.00,-34.00,3.00,35.20,101286,-1.47
1022,-0.92,0.39,9.82,9.33,-31.50,20.33,22.00,-32.00,3.00,35.10,101269,0.05
1045,-1.01,0.48,9.77,10.00,-31.17,20.00,21.00,-32.00,3.00,35.20,101276,-0.57
1072,-1.01,0.39,9.77,9.83,-31.33,20.83,22.00,-33.00,3.00,35.20,101276,-0.57
1094,-0.96,0.44,9.77,9.67,-31.17,20.50,22.00,-32.00,4.00,35.10,101276,-0.57
1118,-0.92,0.44,9.77,10.33,-31.50,21.00,22.00,-32.00,2.00,35.20,101253,1.49
1140,-1.05,0.44,9.77,9.83,-30.83,20.50,22.00,-32.00,3.00,35.10,101282,-1.11
1164,-0.92,0.39,9.77,9.83,-30.83,20.33,22.00,-33.00,4.00,35.10,101279,-0.84
1186,-0.92,0.39,9.82,10.17,-31.17,20.50,21.00,-31.00,3.00,35.20,101256,1.22
1210,-0.96,0.39,9.77,9.67,-31.33,20.33,22.00,-32.00,3.00,35.10,101246,2.11
1236,-1.01,0.44,9.77,10.00,-31.17,20.50,23.00,-33.00,3.00,35.20,101266,0.32
1259,-1.01,0.44,9.86,9.83,-31.17,20.50,21.00,-32.00,3.00,35.20,101256,1.22
1282,-1.01,0.44,9.82,10.00,-31.00,20.33,22.00,-32.00,3.00,35.20,101269,0.05
1305,-0.96,0.48,9.86,9.67,-31.00,21.00,22.00,-33.00,2.00,35.10,101253,1.49
1328,-0.96,0.39,9.77,9.83,-30.83,20.33,22.00,-31.00,3.00,35.20,101256,1.22
1363,-0.92,0.44,9.86,10.00,-31.67,20.50,21.00,-32.00,3.00,35.10,101279,-0.84
1389,-0.96,0.44,9.82,10.17,-31.00,20.50,22.00,-32.00,3.00,35.10,101272,-0.22
1416,-0.92,0.44,9.95,10.17,-30.50,20.67,23.00,-33.00,3.00,35.10,101276,-0.57
1438,-0.96,0.44,9.86,10.00,-31.00,20.33,21.00,-32.00,3.00,35.20,101256,1.22
1462,-1.01,0.44,9.77,10.00,-30.67,20.67,21.00,-32.00,2.00,35.20,101256,1.22
1484,-0.96,0.48,9.86,9.83,-30.83,20.50,22.00,-32.00,3.00,35.10,101269,0.05
1507,-1.01,0.44,9.77,9.67,-31.33,20.17,22.00,-32.00,2.00,35.10,101263,0.59
1530,-1.01,0.53,9.86,9.67,-30.83,20.50,22.00,-32.00,3.00,35.10,101266,0.32
1557,-0.96,0.44,9.86,9.67,-31.17,21.00,22.00,-32.00,2.00,35.10,101259,0.95
1580,-0.96,0.48,9.91,9.83,-30.83,20.83,23.00,-32.00,3.00,35.20,101276,-0.57
1603,-0.96,0.44,9.82,9.83,-31.17,20.67,21.00,-32.00,4.00,35.10,101266,0.32
1626,-1.01,0.44,9.77,9.67,-31.17,20.33,22.00,-32.00,3.00,35.20,101272,-0.22
1648,-1.01,0.44,9.77,10.00,-31.00,20.50,22.00,-32.00,2.00,35.10,101263,0.59
1672,-0.96,0.44,9.77,9.83,-31.00,20.50,21.00,-33.00,3.00,35.10,101276,-0.57
1694,-1.01,0.48,9.73,9.50,-30.83,20.33,22.00,-31.00,3.00,35.10,101269,0.05
1721,-1.01,0.44,9.77,10.00,-30.67,20.83,22.00,-32.00,2.00,35.10,101289,-1.74
1744,-1.01,0.44,9.77,9.67,-31.17,20.50,23.00,-33.00,3.00,35.10,101276,-0.57
1767,-0.96,0.48,9.82,9.67,-31.33,20.50,22.00,-31.00,2.00,35.10,101279,-0.84
1789,-1.01,0.44,9.77,10.17,-31.17,20.17,23.00,-31.00,2.00,35.20,101269,0.05
1813,-0.92,0.44,9.73,9.83,-31.33,21.17,21.00,-33.00,3.00,35.10,101269,0.05
1836,-0.92,0.44,9.73,10.17,-30.83,20.33,22.00,-32.00,3.00,35.20,101276,-0.57
1859,-1.01,0.44,9.82,9.83,-31.33,20.83,23.00,-33.00,3.00,35.10,101263,0.59
1886,-0.96,0.39,9.77,10.33,-31.17,20.67,22.00,-33.00,3.00,35.20,101266,0.32
1908,-0.96,0.44,9.82,10.00,-31.00,20.50,22.00,-34.00,3.00,35.20,101276,-0.57
1932,-1.05,0.44,9.69,9.83,-31.17,20.67,22.00,-31.00,3.00,35.10,101279,-0.84
1954,-1.05,0.44,9.77,9.67,-30.83,20.50,21.00,-31.00,2.00,35.20,101276,-0.57
1977,-1.01,0.44,9.82,9.50,-31.33,20.00,21.00,-32.00,2.00,35.20,101269,0.05
2000,-1.05,0.39,9.82,9.83,-30.83,20.67,21.00,-33.00,3.00,35.10,101272,-0.22
2035,-1.01,0.39,9.91,10.00,-30.83,20.33,21.00,-33.00,3.00,35.10,101263,0.59
2058,-0.96,0.39,9.77,10.00,-30.83,21.00,22.00,-33.00,4.00,35.20,101282,-1.11
2081,-1.01,0.35,9.86,10.00,-31.50,20.67,22.00,-33.00,3.00,35.10,101266,0.32
2104,-0.96,0.39,9.82,9.67,-31.33,20.50,21.00,-33.00,4.00,35.20,101282,-1.11
2126,-0.96,0.44,9.77,9.83,-31.33,20.50,22.00,-31.00,4.00,35.20,101269,0.05
2150,-1.01,0.39,9.77,10.17,-31.17,20.17,22.00,-33.00,3.00,35.20,101276,-0.57
2172,-1.05,0.44,9.82,10.17,-31.00,20.67,22.00,-32.00,3.00,35.10,101279,-0.84
2199,-1.01,0.39,9.86,10.17,-31.33,20.17,23.00,-33.00,3.00,35.10,101272,-0.22
2223,-0.96,0.44,9.77,10.00,-31.17,20.33,22.00,-34.00,3.00,35.20,101266,0.32
2245,-0.92,0.39,9.86,9.67,-31.50,20.67,21.00,-32.00,1.00,35.20,101269,0.05
2269,-0.96,0.39,9.91,10.17,-31.00,20.50,21.00,-32.00,2.00,35.10,101263,0.59
2291,-1.01,0.44,9.77,9.83,-30.83,20.50,23.00,-32.00,4.00,35.20,101256,1.22
2314,-0.92,0.35,9.69,9.83,-31.33,20.17,22.00,-33.00,2.00,35.20,101282,-1.11
2341,-0.96,0.44,9.73,10.17,-30.67,20.33,22.00,-33.00,3.00,35.10,101282,-1.11
2364,-0.96,0.39,9.73,9.67,-31.17,20.83,22.00,-33.00,3.00,35.10,101269,0.05
2386,-0.96,0.44,9.77,9.83,-31.00,20.33,21.00,-32.00,3.00,35.10,101276,-0.57
2410,-0.96,0.39,9.86,10.17,-31.33,20.33,22.00,-32.00,2.00,35.20,101269,0.05
2433,-0.96,0.44,9.82,9.83,-30.67,20.33,22.00,-31.00,2.00,35.20,101282,-1.11
2456,-0.96,0.39,9.86,9.83,-30.83,20.33,22.00,-32.00,3.00,35.10,101279,-0.84
2479,-0.96,0.44,9.77,10.17,-31.17,20.33,22.00,-32.00,3.00,35.20,101285,-1.38
2505,-0.96,0.44,9.91,9.83,-31.67,20.33,21.00,-32.00,3.00,35.10,101256,1.22
2529,-0.96,0.44,9.77,9.50,-31.50,20.50,22.00,-32.00,2.00,35.20,101263,0.59
2564,-0.96,0.48,9.77,9.83,-31.00,21.00,22.00,-32.00,3.00,35.20,101272,-0.22
2589,-0.96,0.48,9.91,9.83,-31.00,20.17,21.00,-31.00,3.00,35.20,101286,-1.47
2612,-0.96,0.48,9.86,9.67,-31.17,21.00,21.00,-32.00,3.00,35.10,101279,-0.84
2635,-0.96,0.48,9.86,9.67,-31.17,20.33,22.00,-31.00,4.00,35.20,101276,-0.57
2658,-0.92,0.39,9.95,10.33,-31.00,20.67,22.00,-32.00,3.00,35.10,101269,0.05
2684,-0.96,0.44,9.86,9.67,-31.33,20.50,22.00,-32.00,3.00,35.20,101282,-1.11
2708,-1.01,0.44,9.91,9.67,-30.83,20.33,22.00,-32.00,3.00,35.10,101272,-0.22
2731,-0.96,0.44,9.82,9.83,-31.33,20.50,21.00,-32.00,3.00,35.20,101282,-1.11
2754,-0.92,0.44,9.77,9.50,-30.83,20.33,22.00,-31.00,3.00,35.10,101276,-0.57
2777,-0.96,0.44,9.82,10.00,-31.17,20.67,23.00,-31.00,2.00,35.20,101279,-0.84
2799,-0.88,0.39,9.86,9.67,-31.17,21.00,21.00,-33.00,2.00,35.10,101250,1.76
2826,-0.96,0.48,9.77,9.83,-31.50,20.00,21.00,-32.00,2.00,35.20,101282,-1.11
2849,-0.92,0.39,9.82,10.50,-31.33,21.00,22.00,-32.00,3.00,35.10,101263,0.59
2872,-1.01,0.44,9.73,9.67,-30.67,20.50,21.00,-32.00,3.00,35.20,101276,-0.57
2895,-0.92,0.39,9.73,9.50,-31.17,20.33,22.00,-32.00,4.00,35.20,101256,1.22
2918,-0.92,0.39,9.86,10.17,-31.00,20.67,21.00,-32.00,2.00,35.20,101269,0.05
2940,-0.92,0.44,9.82,9.67,-31.33,20.83,22.00,-32.00,3.00,35.10,101269,0.05
2964,-0.96,0.39,9.82,10.00,-30.67,20.50,21.00,-32.00,4.00,35.20,101282,-1.11
2991,-0.96,0.44,9.82,10.00,-31.50,20.67,22.00,-32.00,2.00,35.20,101279,-0.84
3013,-0.96,0.39,9.82,9.67,-30.83,20.83,22.00,-32.00,3.00,35.10,101259,0.95
3037,-0.96,0.39,9.82,9.83,-31.00,20.83,22.00,-32.00,2.00,35.20,101269,0.05
3059,-0.96,0.48,9.77,9.83,-30.67,20.50,21.00,-32.00,3.00,35.20,101279,-0.84
3083,-0.96,0.39,9.82,9.83,-30.67,20.50,22.00,-31.00,3.00,35.20,101260,0.86
3105,-1.05,0.35,9.77,9.67,-31.17,20.33,21.00,-32.00,2.00,35.20,101272,-0.22
3128,-1.01,0.44,9.73,9.50,-31.00,20.67,22.00,-32.00,3.00,35.10,101279,-0.84
3154,-1.05,0.44,9.73,9.83,-31.00,20.83,22.00,-32.00,2.00,35.10,101276,-0.57
3178,-0.96,0.44,9.77,10.00,-31.00,20.50,21.00,-32.00,3.00,35.10,101256,1.22
3201,-0.96,0.35,9.82,9.67,-31.50,20.50,23.00,-31.00,3.00,35.20,101272,-0.22
3224,-0.96,0.48,9.86,9.83,-31.00,19.83,21.00,-31.00,3.00,35.20,101253,1.49
3247,-1.01,0.44,9.82,9.83,-31.50,20.67,22.00,-32.00,3.00,35.20,101263,0.59
3269,-0.96,0.44,9.77,9.83,-31.00,20.50,22.00,-31.00,3.00,35.20,101286,-1.47
3309,-0.92,0.44,9.86,10.00,-31.33,20.33,22.00,-33.00,3.00,35.20,101279,-0.84
3332,-1.01,0.48,9.82,9.67,-30.50,20.50,22.00,-32.00,3.00,35.20,101282,-1.11
3355,-1.01,0.44,9.82,10.00,-31.50,20.83,23.00,-32.00,3.00,35.10,101285,-1.38
3378,-1.01,0.48,9.91,10.00,-31.17,20.67,22.00,-32.00,3.00,35.20,101285,-1.38
3401,-0.96,0.44,9.86,9.50,-31.33,20.50,22.00,-32.00,3.00,35.20,101273,-0.31
3424,-0.96,0.44,9.86,9.83,-31.00,20.50,21.00,-31.00,3.00,35.20,101286,-1.47
3447,-0.96,0.39,9.86,10.17,-31.33,20.50,22.00,-31.00,2.00,35.10,101276,-0.57
3474,-1.01,0.39,9.86,9.67,-31.33,20.50,22.00,-32.00,3.00,35.20,101282,-1.11
3496,-1.01,0.39,9.77,10.00,-31.00,20.67,23.00,-32.00,3.00,35.10,101282,-1.11
3520,-0.96,0.48,9.82,9.33,-31.00,20.50,22.00,-33.00,3.00,35.20,101279,-0.84
3543,-1.01,0.39,9.91,9.83,-30.83,20.50,22.00,-32.00,3.00,35.10,101272,-0.22
3566,-0.92,0.39,9.69,10.00,-31.17,20.33,21.00,-32.00,3.00,35.20,101282,-1.11
3589,-0.92,0.39,9.91,9.33,-30.67,20.67,20.00,-32.00,2.00,35.20,101276,-0.57
3611,-0.92,0.44,9.77,9.83,-31.00,21.00,22.00,-32.00,3.00,35.20,101286,-1.47
3638,-0.96,0.48,9.82,10.33,-30.83,20.17,21.00,-32.00,3.00,35.20,101282,-1.11
3661,-0.92,0.44,9.82,10.00,-31.33,20.67,22.00,-31.00,4.00,35.20,101266,0.32
3684,-1.01,0.44,9.77,10.00,-31.67,20.33,22.00,-32.00,3.00,35.20,101263,0.59
3707,-1.01,0.48,9.91,9.67,-31.17,20.00,22.00,-33.00,4.00,35.20,101273,-0.31
3730,-0.92,0.44,9.77,10.00,-31.33,20.17,21.00,-32.00,2.00,35.20,101263,0.59
3766,-0.96,0.44,9.64,9.83,-31.17,20.17,22.00,-32.00,3.00,35.20,101263,0.59
3794,-0.96,0.39,9.73,10.50,-31.50,20.33,22.00,-32.00,3.00,35.10,101263,0.59
3818,-0.96,0.48,9.73,10.00,-31.17,20.50,22.00,-32.00,3.00,35.10,101266,0.32
3841,-1.01,0.44,9.69,9.83,-30.83,20.67,22.00,-33.00,2.00,35.20,101266,0.32
3864,-1.05,0.39,9.73,10.00,-31.33,20.67,21.00,-33.00,3.00,35.20,101269,0.05
3887,-1.01,0.48,9.77,9.83,-31.17,20.50,22.00,-32.00,2.00,35.20,101282,-1.11
3909,-0.96,0.39,9.69,10.17,-30.83,20.33,21.00,-33.00,4.00,35.20,101272,-0.22
3933,-1.01,0.39,9.77,10.00,-31.17,20.33,21.00,-33.00,3.00,35.20,101266,0.32
3959,-0.96,0.39,9.73,9.83,-31.33,20.83,22.00,-32.00,3.00,35.10,101253,1.49
3982,-0.96,0.39,9.91,9.67,-31.00,20.83,22.00,-33.00,3.00,35.20,101266,0.32
4005,-0.96,0.39,9.86,10.33,-31.00,20.50,22.00,-32.00,3.00,35.20,101266,0.32
4028,-1.01,0.39,9.77,10.00,-31.00,20.50,21.00,-31.00,2.00,35.20,101282,-1.11
4050,-1.01,0.44,9.86,10.00,-31.50,20.17,22.00,-33.00,4.00,35.20,101282,-1.11
4074,-1.05,0.44,9.77,9.83,-31.17,20.33,22.00,-31.00,3.00,35.20,101295,-2.28
4097,-1.01,0.44,9.77,10.00,-31.33,20.17,21.00,-32.00,2.00,35.20,101266,0.32
4123,-1.01,0.39,9.69,9.83,-31.00,20.33,23.00,-32.00,3.00,35.20,101282,-1.11
4147,-0.96,0.44,9.77,10.33,-31.33,20.67,21.00,-31.00,3.00,35.20,101279,-0.84
4169,-1.01,0.44,9.77,9.83,-31.00,20.67,21.00,-31.00,3.00,35.20,101286,-1.47
4193,-0.96,0.44,9.82,9.17,-31.17,20.50,22.00,-32.00,3.00,35.20,101253,1.49
4215,-0.92,0.44,9.86,10.00,-30.83,20.83,22.00,-32.00,3.00,35.20,101276,-0.57
4239,-0.96,0.44,9.82,9.83,-31.33,20.33,22.00,-31.00,3.00,35.20,101269,0.05
4265,-1.01,0.39,9.86,9.83,-31.00,20.83,22.00,-33.00,3.00,35.20,101253,1.49
4288,-0.96,0.44,9.86,10.33,-31.00,20.50,22.00,-33.00,4.00,35.20,101279,-0.84
4311,-1.01,0.44,9.77,9.50,-30.83,20.50,21.00,-34.00,2.00,35.20,101260,0.86
4334,-0.96,0.48,9.73,9.83,-30.83,20.33,22.00,-32.00,4.00,35.20,101279,-0.84
4357,-0.96,0.53,9.77,9.33,-31.33,20.50,21.00,-32.00,3.00,35.20,101286,-1.47
4380,-0.96,0.39,9.77,9.83,-31.50,20.33,22.00,-32.00,3.00,35.10,101276,-0.57
4403,-0.92,0.44,9.86,9.83,-31.33,20.67,21.00,-32.00,3.00,35.10,101269,0.05
4429,-0.96,0.53,9.82,10.00,-31.17,19.67,22.00,-32.00,3.00,35.20,101272,-0.22
4452,-0.92,0.44,9.82,10.17,-31.17,20.00,22.00,-32.00,2.00,35.20,101269,0.05
4475,-0.92,0.44,9.77,9.67,-30.67,20.33,22.00,-32.00,3.00,35.20,101285,-1.38
4498,-0.96,0.44,9.91,9.67,-31.17,20.67,22.00,-33.00,2.00,35.20,101276,-0.57
4521,-0.92,0.44,9.77,9.67,-30.67,20.00,21.00,-33.00,3.00,35.20,101269,0.05
4544,-0.96,0.44,9.77,9.83,-31.67,20.67,21.00,-33.00,2.00,35.20,101279,-0.84
4568,-0.92,0.39,9.86,10.00,-31.50,21.00,22.00,-33.00,4.00,35.20,101266,0.32
4601,-1.01,0.44,9.77,9.83,-30.67,20.00,21.00,-33.00,2.00,35.20,101286,-1.47
4625,-0.96,0.35,9.73,10.00,-31.33,20.50,21.00,-31.00,3.00,35.20,101279,-0.84
4647,-1.01,0.44,9.82,9.83,-30.83,21.00,23.00,-31.00,3.00,35.20,101286,-1.47
4671,-1.01,0.44,9.77,10.17,-31.17,20.33,22.00,-31.00,2.00,35.20,101282,-1.11
4694,-1.01,0.39,9.73,10.00,-30.83,20.83,22.00,-32.00,2.00,35.20,101282,-1.11
4717,-1.01,0.39,9.86,9.83,-30.83,20.33,21.00,-32.00,3.00,35.20,101286,-1.47
4744,-1.01,0.44,9.77,10.00,-31.33,20.17,21.00,-33.00,2.00,35.20,101282,-1.11
4766,-1.01,0.48,9.77,10.17,-31.33,20.50,22.00,-32.00,3.00,35.20,101282,-1.11
4790,-0.96,0.39,9.73,9.67,-31.33,20.50,21.00,-32.00,3.00,35.20,101263,0.59
4812,-1.05,0.39,9.86,10.17,-30.83,20.33,22.00,-33.00,3.00,35.20,101263,0.59
4835,-1.01,0.44,9.82,9.83,-30.83,19.83,22.00,-32.00,3.00,35.20,101286,-1.47
4858,-0.96,0.35,9.64,9.83,-30.67,20.50,22.00,-33.00,2.00,35.20,101259,0.95
4881,-1.01,0.48,9.77,9.83,-31.50,20.50,22.00,-33.00,2.00,35.20,101269,0.05
4908,-0.96,0.39,9.82,9.83,-31.17,20.83,21.00,-31.00,2.00,35.20,101273,-0.31
4931,-0.96,0.44,9.77,9.50,-30.83,20.50,21.00,-32.00,2.00,35.20,101289,-1.74
4966,-1.01,0.44,9.82,10.00,-31.50,20.33,21.00,-33.00,3.00,35.20,101279,-0.84
4992,-0.96,0.44,9.86,10.00,-31.50,20.33,22.00,-32.00,3.00,35.20,101272,-0.22
5015,-0.96,0.39,9.86,9.50,-31.33,20.50,22.00,-31.00,4.00,35.20,101272,-0.22
5038,-1.01,0.44,9.86,10.17,-31.50,20.33,22.00,-33.00,3.00,35.20,101259,0.95
5060,-1.01,0.39,9.86,9.67,-31.33,20.33,23.00,-32.00,3.00,35.20,101282,-1.11
5087,-0.92,0.44,9.77,9.67,-31.50,20.00,21.00,-32.00,2.00,35.20,101266,0.32
5110,-1.01,0.39,9.86,10.00,-31.17,20.50,22.00,-32.00,3.00,35.20,101276,-0.57
5133,-1.01,0.48,9.86,10.50,-31.17,20.67,22.00,-32.00,1.00,35.20,101273,-0.31
5156,-0.92,0.44,9.95,9.83,-31.17,20.50,23.00,-31.00,3.00,35.20,101272,-0.22
5179,-1.01,0.44,9.77,9.50,-30.83,20.33,22.00,-32.00,3.00,35.20,101269,0.05
5202,-0.96,0.44,9.86,9.67,-31.67,20.67,22.00,-31.00,3.00,35.20,101282,-1.11
5229,-0.92,0.44,9.86,9.83,-31.00,20.17,21.00,-32.00,3.00,35.20,101286,-1.47
5252,-1.05,0.44,9.86,9.33,-31.33,20.50,22.00,-33.00,3.00,35.20,101273,-0.31
5274,-0.96,0.44,9.91,10.00,-31.17,20.33,21.00,-32.00,3.00,35.20,101263,0.59
5298,-0.96,0.48,9.77,9.50,-31.50,20.33,22.00,-32.00,2.00,35.20,101269,0.05
5320,-0.92,0.44,9.77,9.67,-31.33,20.17,23.00,-32.00,2.00,35.20,101282,-1.11
5344,-1.01,0.39,9.64,9.83,-30.83,20.33,22.00,-32.00,3.00,35.20,101279,-0.84
5366,-0.92,0.39,9.82,10.00,-31.33,20.83,21.00,-33.00,3.00,35.20,101266,0.32
5393,-0.96,0.44,9.69,10.17,-30.83,20.67,21.00,-32.00,3.00,35.20,101279,-0.84
5416,-0.92,0.44,9.86,10.00,-31.50,21.00,22.00,-32.00,2.00,35.20,101273,-0.31
5439,-1.01,0.48,9.82,9.67,-31.17,20.83,21.00,-32.00,2.00,35.20,101256,1.22
5462,-1.05,0.48,9.77,9.83,-31.00,20.17,22.00,-32.00,3.00,35.20,101269,0.05
5485,-0.96,0.35,9.77,10.00,-31.17,20.33,21.00,-32.00,3.00,35.20,101272,-0.22
5508,-0.96,0.39,9.77,9.50,-31.00,20.33,22.00,-32.00,3.00,35.20,101272,-0.22
5534,-0.92,0.39,9.82,9.83,-31.00,20.33,21.00,-33.00,2.00,35.20,101263,0.59
5558,-0.96,0.35,9.77,10.00,-31.00,21.00,22.00,-32.00,3.00,35.20,101269,0.05
5580,-0.96,0.39,9.69,9.83,-31.17,20.50,21.00,-32.00,3.00,35.20,101263,0.59
5603,-0.96,0.48,9.77,10.00,-31.33,20.50,22.00,-33.00,2.00,35.10,101269,0.05
5626,-1.01,0.39,9.77,9.67,-31.50,20.00,22.00,-32.00,3.00,35.20,101273,-0.31
5649,-0.96,0.44,9.73,10.00,-31.17,20.33,23.00,-33.00,3.00,35.20,101286,-1.47
5672,-1.01,0.44,9.86,10.17,-30.83,20.50,22.00,-33.00,3.00,35.20,101269,0.05
5699,-0.96,0.48,9.82,9.67,-30.50,20.50,22.00,-32.00,3.00,35.20,101269,0.05
5722,-1.01,0.48,9.77,10.00,-31.00,20.17,22.00,-33.00,3.00,35.20,101279,-0.84
5744,-0.92,0.39,9.77,10.00,-31.33,20.50,22.00,-33.00,3.00,35.20,101279,-0.84
5768,-1.05,0.44,9.77,9.83,-31.50,20.33,22.00,-33.00,3.00,35.20,101282,-1.11
5790,-0.96,0.44,9.73,10.00,-31.50,20.33,21.00,-33.00,3.00,35.20,101279,-0.84
5814,-1.05,0.53,9.77,9.50,-30.67,20.00,22.00,-32.00,3.00,35.20,101263,0.59
5836,-1.01,0.44,9.82,10.17,-31.17,20.17,22.00,-33.00,2.00,35.20,101272,-0.22
5876,-1.01,0.44,9.82,10.00,-31.17,20.83,22.00,-32.00,2.00,35.20,101286,-1.47
5899,-0.96,0.39,9.77,10.33,-31.33,20.67,22.00,-31.00,2.00,35.20,101279,-0.84
5922,-0.92,0.35,9.82,9.83,-31.00,20.83,21.00,-33.00,2.00,35.20,101282,-1.11
5945,-0.96,0.39,9.82,10.00,-31.33,20.67,22.00,-32.00,2.00,35.20,101276,-0.57
5968,-0.96,0.39,9.86,10.00,-31.67,20.50,21.00,-32.00,2.00,35.20,101276,-0.57
5991,-1.01,0.44,9.86,10.00,-31.17,20.50,22.00,-33.00,2.00,35.20,101279,-0.84
6018,-0.96,0.44,9.73,9.83,-31.50,20.67,21.00,-32.00,3.00,35.20,101273,-0.31
6041,-0.96,0.44,9.86,9.67,-30.83,20.33,22.00,-32.00,3.00,35.20,101289,-1.74
6064,-0.92,0.35,9.86,9.83,-31.50,20.67,22.00,-33.00,3.00,35.20,101266,0.32
6087,-0.92,0.39,9.77,9.83,-31.50,20.83,23.00,-32.00,3.00,35.20,101272,-0.22
6110,-0.96,0.35,9.82,9.83,-31.50,20.67,22.00,-32.00,4.00,35.20,101263,0.59
6132,-0.92,0.39,9.77,9.83,-31.50,20.17,22.00,-33.00,3.00,35.20,101273,-0.31
6168,-0.88,0.39,9.86,10.17,-31.33,20.67,22.00,-34.00,2.00,35.20,101269,0.05
6198,-0.96,0.48,9.73,9.83,-31.00,20.50,22.00,-32.00,3.00,35.20,101273,-0.31
6220,-1.01,0.48,9.91,10.00,-30.67,20.33,22.00,-32.00,4.00,35.10,101276,-0.57
6243,-0.96,0.48,9.77,10.00,-31.17,20.17,21.00,-32.00,3.00,35.20,101276,-0.57
6266,-0.96,0.48,9.73,9.50,-30.83,20.17,22.00,-33.00,2.00,35.20,101279,-0.84
6289,-0.96,0.44,9.73,9.67,-30.67,20.83,22.00,-32.00,2.00,35.20,101266,0.32
6312,-0.96,0.44,9.86,10.00,-31.33,20.83,22.00,-33.00,4.00,35.20,101263,0.59
6335,-0.96,0.48,9.82,10.00,-31.33,20.50,22.00,-32.00,3.00,35.20,101269,0.05
6362,-1.01,0.44,9.82,10.00,-31.17,20.67,22.00,-34.00,3.00,35.20,101282,-1.11
6385,-0.96,0.44,9.82,10.00,-31.17,20.67,22.00,-32.00,3.00,35.20,101276,-0.57
6408,-1.01,0.44,9.91,9.83,-30.83,20.67,22.00,-33.00,3.00,35.20,101276,-0.57
6430,-0.92,0.39,9.73,9.50,-31.17,20.67,21.00,-33.00,3.00,35.20,101273,-0.31
6454,-0.96,0.39,9.77,9.67,-31.17,20.67,22.00,-33.00,3.00,35.20,101269,0.05
6476,-1.01,0.39,9.73,10.17,-30.67,20.50,22.00,-34.00,4.00,35.20,101292,-2.01
6503,-0.96,0.44,9.77,9.67,-31.33,20.50,22.00,-32.00,3.00,35.20,101279,-0.84
6526,-1.01,0.44,9.77,9.67,-30.50,20.33,22.00,-32.00,3.00,35.20,101289,-1.74
6549,-0.92,0.44,9.73,10.00,-31.17,20.33,22.00,-32.00,2.00,35.20,101266,0.32
6573,-0.92,0.39,9.64,9.67,-31.00,20.50,21.00,-32.00,2.00,35.20,101273,-0.31
6595,-0.96,0.44,9.69,10.00,-31.17,20.00,22.00,-33.00,3.00,35.20,101269,0.05
6618,-1.05,0.44,9.69,9.67,-31.17,21.00,22.00,-33.00,2.00,35.20,101276,-0.57
6641,-0.96,0.39,9.82,9.67,-30.83,20.67,22.00,-33.00,3.00,35.20,101276,-0.57
6668,-1.01,0.39,9.77,9.83,-30.83,20.17,22.00,-33.00,3.00,35.20,101273,-0.31
6690,-1.01,0.39,9.82,9.83,-31.50,21.00,22.00,-32.00,2.00,35.20,101279,-0.84
6714,-0.96,0.39,9.73,10.17,-31.33,20.67,21.00,-32.00,3.00,35.20,101273,-0.31
6736,-1.01,0.35,9.82,9.50,-31.00,20.17,22.00,-32.00,1.00,35.20,101276,-0.57
6760,-0.96,0.44,9.77,9.50,-31.17,20.50,22.00,-31.00,3.00,35.20,101266,0.32
6782,-1.01,0.44,9.82,10.00,-31.00,20.83,22.00,-32.00,2.00,35.20,101273,-0.31
6805,-1.05,0.48,9.82,10.00,-31.00,20.17,21.00,-32.00,3.00,35.20,101256,1.22
6832,-0.96,0.44,9.82,10.00,-31.67,20.50,21.00,-32.00,3.00,35.20,101269,0.05
6855,-0.96,0.44,9.82,9.83,-31.17,20.50,22.00,-34.00,2.00,35.20,101282,-1.11
6878,-0.96,0.44,9.77,9.83,-30.83,20.17,21.00,-32.00,3.00,35.20,101286,-1.47
6901,-0.96,0.39,9.82,9.83,-31.00,20.67,22.00,-33.00,3.00,35.20,101272,-0.22
6924,-1.01,0.39,9.77,9.83,-31.33,20.33,22.00,-31.00,3.00,35.20,101289,-1.74
6947,-1.01,0.44,9.82,9.50,-31.50,20.67,23.00,-33.00,2.00,35.20,101263,0.59
6974,-1.01,0.39,9.77,10.00,-31.33,20.83,21.00,-33.00,2.00,35.20,101279,-0.84
6996,-1.01,0.44,9.73,9.83,-30.83,20.67,21.00,-31.00,2.00,35.20,101276,-0.57
7019,-0.96,0.39,9.82,9.50,-31.00,20.83,22.00,-33.00,3.00,35.20,101282,-1.11
7043,-0.96,0.39,9.77,9.67,-31.50,20.83,21.00,-32.00,4.00,35.20,101266,0.32
7065,-0.96,0.44,9.82,9.83,-31.00,20.17,20.00,-32.00,3.00,35.20,101269,0.05
7089,-1.01,0.39,9.73,9.50,-31.00,20.17,22.00,-31.00,2.00,35.20,101260,0.86
7111,-0.92,0.48,9.77,9.67,-30.83,20.17,21.00,-32.00,3.00,35.20,101282,-1.11
7146,-0.96,0.44,9.77,10.00,-31.50,20.50,22.00,-33.00,3.00,35.20,101269,0.05
7169,-1.05,0.39,9.77,9.83,-31.00,20.33,23.00,-33.00,4.00,35.20,101273,-0.31
7192,-0.96,0.39,9.82,9.67,-31.33,20.33,21.00,-33.00,3.00,35.20,101263,0.59
