f,ax,ay,az,mx,my,mz,gx,gy,gz,t,p,h
22694,-0.48,0.13,9.91,9.50,-33.67,18.83,22.00,-31.00,2.00,35.70,101274,-0.93
22721,-0.48,0.13,9.77,9.50,-33.17,19.50,23.00,-30.00,2.00,35.70,101287,-2.10
22744,-0.53,0.18,9.86,9.83,-32.83,19.33,22.00,-31.00,2.00,35.70,101271,-0.66
22767,-0.48,0.18,9.86,9.50,-33.17,19.17,22.00,-32.00,2.00,35.70,101264,-0.04
22790,-0.48,0.22,9.77,10.17,-33.50,19.33,22.00,-31.00,3.00,35.70,101277,-1.20
22813,-0.44,0.22,9.82,9.50,-33.33,19.17,21.00,-31.00,2.00,35.70,101261,0.23
22836,-0.39,0.18,9.95,9.67,-33.33,19.17,22.00,-31.00,3.00,35.70,101267,-0.31
22859,-0.48,0.18,9.86,9.83,-33.17,19.00,23.00,-29.00,2.00,35.70,101277,-1.20
22886,-0.53,0.18,9.86,9.33,-33.33,19.33,22.00,-30.00,1.00,35.70,101284,-1.83
22908,-0.53,0.22,9.91,9.83,-33.33,19.33,23.00,-31.00,2.00,35.70,101274,-0.93
22932,-0.53,0.22,9.86,9.50,-33.17,19.67,22.00,-30.00,3.00,35.70,101274,-0.93
22955,-0.57,0.18,9.82,9.33,-33.67,19.67,22.00,-32.00,3.00,35.70,101274,-0.93
22977,-0.48,0.18,9.82,10.17,-33.33,19.50,23.00,-32.00,2.00,35.70,101274,-0.93
23001,-0.48,0.13,9.82,9.33,-32.83,19.50,22.00,-30.00,2.00,35.70,101264,-0.04
23027,-0.48,0.18,9.82,9.83,-33.17,19.17,22.00,-31.00,1.00,35.70,101287,-2.10
23051,-0.48,0.18,9.86,9.83,-33.17,19.50,22.00,-32.00,2.00,35.70,101290,-2.37
23073,-0.48,0.18,9.82,9.50,-33.50,19.00,21.00,-31.00,4.00,35.70,101280,-1.47
23096,-0.53,0.18,9.91,9.33,-33.17,19.17,21.00,-31.00,2.00,35.70,101280,-1.47
23133,-0.48,0.18,9.95,9.67,-33.33,19.50,21.00,-30.00,2.00,35.70,101277,-1.20
23158,-0.48,0.22,9.77,9.83,-32.67,20.00,22.00,-31.00,2.00,35.70,101280,-1.47
23181,-0.53,0.18,9.86,10.00,-33.33,19.50,22.00,-30.00,2.00,35.70,101267,-0.31
23207,-0.48,0.13,9.86,9.83,-33.83,19.67,22.00,-30.00,3.00,35.70,101274,-0.93
23231,-0.48,0.18,9.86,10.33,-33.17,19.67,21.00,-31.00,2.00,35.70,101284,-1.83
23254,-0.48,0.18,9.77,9.83,-33.33,19.33,23.00,-32.00,2.00,35.70,101277,-1.20
23277,-0.53,0.18,9.86,10.00,-33.33,19.33,22.00,-31.00,2.00,35.70,101274,-0.93
23300,-0.53,0.18,9.77,9.67,-33.17,19.50,21.00,-31.00,2.00,35.70,101267,-0.31
23322,-0.44,0.18,9.77,9.83,-33.17,19.50,22.00,-32.00,2.00,35.70,101277,-1.20
23346,-0.53,0.18,9.77,9.67,-33.17,19.83,22.00,-31.00,1.00,35.70,101271,-0.66
23372,-0.53,0.22,9.82,9.83,-33.00,19.33,21.00,-32.00,3.00,35.70,101274,-0.93
23396,-0.57,0.22,9.82,9.33,-32.67,19.67,23.00,-32.00,3.00,35.70,101261,0.23
23418,-0.53,0.22,9.86,10.00,-33.50,19.33,23.00,-32.00,3.00,35.70,101280,-1.47
23441,-0.53,0.22,9.77,10.00,-33.17,19.67,22.00,-32.00,2.00,35.70,101280,-1.47
23464,-0.44,0.18,9.82,9.83,-32.83,19.67,21.00,-30.00,2.00,35.70,101271,-0.66
23487,-0.48,0.18,9.86,9.67,-33.33,19.50,23.00,-30.00,1.00,35.70,101284,-1.83
23514,-0.44,0.18,9.99,10.00,-32.83,19.50,23.00,-31.00,2.00,35.70,101264,-0.04
23537,-0.48,0.09,9.82,9.83,-33.00,19.17,22.00,-32.00,1.00,35.70,101280,-1.47
23560,-0.48,0.18,9.82,9.50,-33.00,19.67,22.00,-31.00,3.00,35.70,101274,-0.93
23583,-0.48,0.13,9.86,9.33,-33.00,20.00,22.00,-31.00,2.00,35.70,101274,-0.93
23606,-0.53,0.18,9.82,9.50,-33.33,19.33,21.00,-31.00,3.00,35.70,101280,-1.47
23629,-0.53,0.18,9.82,10.00,-33.33,19.50,22.00,-30.00,2.00,35.70,101264,-0.04
23652,-0.53,0.22,9.77,10.00,-32.83,19.17,21.00,-31.00,3.00,35.70,101274,-0.93
23678,-0.48,0.18,9.73,10.17,-32.83,19.33,22.00,-31.00,3.00,35.70,101271,-0.66
23702,-0.48,0.22,9.82,10.00,-33.00,18.83,21.00,-29.00,2.00,35.70,101267,-0.31
23725,-0.48,0.22,9.86,9.83,-33.33,19.50,22.00,-31.00,3.00,35.70,101284,-1.83
23748,-0.44,0.22,9.95,9.83,-33.00,19.50,21.00,-32.00,2.00,35.70,101287,-2.10
23771,-0.53,0.22,9.91,9.67,-32.83,19.00,21.00,-31.00,2.00,35.70,101251,1.13
23794,-0.48,0.18,9.91,10.33,-33.67,19.50,23.00,-32.00,2.00,35.70,101267,-0.31
23829,-0.44,0.18,9.73,9.83,-33.33,19.67,22.00,-31.00,3.00,35.70,101271,-0.66
23852,-0.57,0.22,9.82,10.33,-32.67,19.33,22.00,-30.00,2.00,35.70,101280,-1.47
23875,-0.53,0.13,9.82,9.67,-33.17,19.33,22.00,-32.00,1.00,35.70,101280,-1.47
23898,-0.48,0.18,9.82,10.00,-32.83,19.33,22.00,-31.00,3.00,35.70,101264,-0.04
23921,-0.53,0.13,9.73,9.50,-33.17,19.67,23.00,-33.00,2.00,35.70,101284,-1.83
